DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1980-01-02,582.8,19800400.0,566.0,19800200.0,582.8,19800400.0
1980-01-03,607.8,19800400.0,591.0,19800200.0,607.8,19800400.0
1980-01-04,628.5,19800400.0,611.0,19800200.0,628.5,19800400.0
1980-01-07,651.3,19800400.0,634.0,19800200.0,651.3,19800400.0
1980-01-08,626.3,19800400.0,609.0,19800200.0,626.3,19800400.0
1980-01-09,620.2,19800400.0,605.0,19800200.0,620.2,19800400.0
1980-01-10,617.3,19800400.0,603.0,19800200.0,617.3,19800400.0
1980-01-11,642.3,19800400.0,628.0,19800200.0,642.3,19800400.0
1980-01-14,667.3,19800400.0,653.0,19800200.0,667.3,19800400.0
1980-01-15,704.8,19800400.0,690.5,19800200.0,704.8,19800400.0
1980-01-16,754.8,19800400.0,740.5,19800200.0,754.8,19800400.0
1980-01-17,804.8,19800400.0,790.5,19800200.0,804.8,19800400.0
1980-01-18,845.0,19800400.0,823.0,19800200.0,845.0,19800400.0
1980-01-21,861.0,19800400.0,834.0,19800200.0,861.0,19800400.0
1980-01-22,811.0,19800400.0,784.0,19800200.0,811.0,19800400.0
1980-01-23,761.0,19800400.0,734.0,19800200.0,761.0,19800400.0
1980-01-24,711.0,19800400.0,684.0,19800200.0,711.0,19800400.0
1980-01-25,661.0,19800400.0,635.0,19800200.0,661.0,19800400.0
1980-01-28,659.2,19800400.0,639.0,19800200.0,659.2,19800400.0
1980-01-29,709.2,19800400.0,702.0,19800200.0,709.2,19800400.0
1980-01-30,703.5,19800600.0,681.0,19800400.0,703.5,19800600.0
1980-01-31,726.0,19800600.0,704.0,19800400.0,726.0,19800600.0
1980-02-01,727.0,19800600.0,704.0,19800400.0,727.0,19800600.0
1980-02-04,699.5,19800600.0,677.0,19800400.0,699.5,19800600.0
1980-02-05,724.5,19800600.0,702.0,19800400.0,724.5,19800600.0
1980-02-06,749.5,19800600.0,727.0,19800400.0,749.5,19800600.0
1980-02-07,734.2,19800600.0,710.0,19800400.0,734.2,19800600.0
1980-02-08,742.2,19800600.0,717.5,19800400.0,742.2,19800600.0
1980-02-11,752.5,19800600.0,726.0,19800400.0,752.5,19800600.0
1980-02-12,744.5,19800600.0,718.5,19800400.0,744.5,19800600.0
1980-02-13,734.6,19800600.0,709.0,19800400.0,734.6,19800600.0
1980-02-14,714.5,19800600.0,690.5,19800400.0,714.5,19800600.0
1980-02-15,703.5,19800600.0,680.5,19800400.0,703.5,19800600.0
1980-02-19,678.5,19800600.0,655.5,19800400.0,678.5,19800600.0
1980-02-20,694.0,19800600.0,673.0,19800400.0,694.0,19800600.0
1980-02-21,689.0,19800600.0,666.5,19800400.0,689.0,19800600.0
1980-02-22,664.0,19800600.0,641.5,19800400.0,664.0,19800600.0
1980-02-25,681.0,19800600.0,659.0,19800400.0,681.0,19800600.0
1980-02-26,657.0,19800600.0,635.5,19800400.0,657.0,19800600.0
1980-02-27,660.8,19800600.0,639.0,19800400.0,660.8,19800600.0
1980-02-28,672.8,19800600.0,650.5,19800400.0,672.8,19800600.0
1980-02-29,662.0,19800600.0,640.0,19800400.0,662.0,19800600.0
1980-03-03,662.5,19800600.0,641.0,19800400.0,662.5,19800600.0
1980-03-04,673.8,19800600.0,651.5,19800400.0,673.8,19800600.0
1980-03-05,666.0,19800600.0,643.0,19800400.0,666.0,19800600.0
1980-03-06,641.0,19800600.0,618.0,19800400.0,641.0,19800600.0
1980-03-07,625.0,19800600.0,605.0,19800400.0,625.0,19800600.0
1980-03-10,587.5,19800600.0,567.5,19800400.0,587.5,19800600.0
1980-03-11,588.3,19800600.0,570.5,19800400.0,588.3,19800600.0
1980-03-12,599.2,19800600.0,581.5,19800400.0,599.2,19800600.0
1980-03-13,561.7,19800600.0,544.0,19800400.0,561.7,19800600.0
1980-03-14,546.5,19800600.0,530.0,19800400.0,546.5,19800600.0
1980-03-17,496.5,19800600.0,480.0,19800400.0,496.5,19800600.0
1980-03-18,504.5,19800600.0,488.5,19800400.0,504.5,19800600.0
1980-03-19,554.5,19800600.0,538.5,19800400.0,554.5,19800600.0
1980-03-20,555.3,19800600.0,538.5,19800400.0,555.3,19800600.0
1980-03-21,582.0,19800600.0,565.0,19800400.0,582.0,19800600.0
1980-03-24,566.9,19800600.0,549.0,19800400.0,566.9,19800600.0
1980-03-25,546.0,19800600.0,529.0,19800400.0,546.0,19800600.0
1980-03-26,521.0,19800600.0,504.0,19800400.0,521.0,19800600.0
1980-03-27,496.0,19800600.0,463.0,19800400.0,496.0,19800600.0
1980-03-28,525.0,19800600.0,509.0,19800400.0,525.0,19800600.0
1980-03-31,519.0,19800600.0,501.5,19800400.0,519.0,19800600.0
1980-04-01,531.8,19800800.0,515.0,19800600.0,531.8,19800800.0
1980-04-02,522.4,19800800.0,506.0,19800600.0,522.4,19800800.0
1980-04-03,517.5,19800800.0,501.5,19800600.0,517.5,19800800.0
1980-04-07,542.5,19800800.0,526.5,19800600.0,542.5,19800800.0
1980-04-08,567.5,19800800.0,551.5,19800600.0,567.5,19800800.0
1980-04-09,567.5,19800800.0,550.0,19800600.0,567.5,19800800.0
1980-04-10,561.8,19800800.0,544.5,19800600.0,561.8,19800800.0
1980-04-11,560.7,19800800.0,544.0,19800600.0,560.7,19800800.0
1980-04-14,535.7,19800800.0,519.5,19800600.0,535.7,19800800.0
1980-04-15,545.4,19800800.0,530.0,19800600.0,545.4,19800800.0
1980-04-16,530.8,19800800.0,516.0,19800600.0,530.8,19800800.0
1980-04-17,536.4,19800800.0,522.0,19800600.0,536.4,19800800.0
